fold,seed,image_id,method,stage,mse,psnr_db,ssim,delta_e00,element_count,below_zero_count,above_one_count,total_oor_count,below_zero_fraction,above_one_fraction,total_oor_fraction,mean_clip_magnitude_active,max_clip_magnitude
0,20260813,0.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0019991850741649243,26.991469992945763,0.9687440991401672,3.8144673644975824,529200,9717,7784,17501,0.018361678004535146,0.01470899470899471,0.033070672713529856,0.015136905448173128,0.05624917149543762
0,20260813,0.png,RGB_ADD_FULL_B0P1,post-clipping,0.001982802601577325,27.027205199414198,0.9777605533599854,3.7457928710096517,529200,9717,7784,17501,0.018361678004535146,0.01470899470899471,0.033070672713529856,0.015136905448173128,0.05624917149543762
0,20260813,0.png,BOSR_FULL_B1,final,0.001957367614945057,27.083276014503966,0.9712698459625244,3.688416226215566,,,,,,,0.0,,
0,20260813,1.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00014778182379263468,38.303789780655876,0.9792405366897583,1.203309886855291,529200,9942,398,10340,0.018786848072562357,0.0007520786092214663,0.019538926681783825,0.028137809122102436,0.056043755263090134
0,20260813,1.png,RGB_ADD_FULL_B0P1,post-clipping,0.000127780727575126,38.93534643352393,0.9898791909217834,1.1344502331381536,529200,9942,398,10340,0.018786848072562357,0.0007520786092214663,0.019538926681783825,0.028137809122102436,0.056043755263090134
0,20260813,1.png,BOSR_FULL_B1,final,0.0001284778953963869,38.91171586209401,0.9831371903419495,1.149871985924703,,,,,,,0.0,,
0,20260813,3.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0003364642758407043,34.73061040292507,0.8233765959739685,2.5571764953558085,529200,78407,0,78407,0.14816137566137566,0.0,0.14816137566137566,0.025254375570521282,0.05169138312339783
0,20260813,3.png,RGB_ADD_FULL_B0P1,post-clipping,0.00020956824861020543,36.78674516048702,0.9511449933052063,2.3542205039572948,529200,78407,0,78407,0.14816137566137566,0.0,0.14816137566137566,0.025254375570521282,0.05169138312339783
0,20260813,3.png,BOSR_FULL_B1,final,0.00020337993555157087,36.916918946239676,0.9413902163505554,2.3269328151896977,,,,,,,0.0,,
0,20260813,7.png,RGB_ADD_FULL_B0P1,pre-clipping,0.001683673321181895,27.737421697074915,0.9722312092781067,3.4837992454525963,529200,11253,0,11253,0.021264172335600906,0.0,0.021264172335600906,0.026354861987183457,0.055496037006378174
0,20260813,7.png,RGB_ADD_FULL_B0P1,post-clipping,0.0016631403923295515,27.790710886995882,0.9841207265853882,3.416195141133452,529200,11253,0,11253,0.021264172335600906,0.0,0.021264172335600906,0.026354861987183457,0.055496037006378174
0,20260813,7.png,BOSR_FULL_B1,final,0.0016945730427061706,27.709397066374315,0.9767950177192688,3.468492899011929,,,,,,,0.0,,
0,20260813,15.png,RGB_ADD_FULL_B0P1,pre-clipping,0.003160543265233673,25.00238260161837,0.9643938541412354,5.163082460884225,529200,9453,5158,14611,0.01786281179138322,0.009746787603930461,0.02760959939531368,0.01901681829406275,0.058045972138643265
0,20260813,15.png,RGB_ADD_FULL_B0P1,post-clipping,0.0031419234797424953,25.028043962312026,0.9747775793075562,5.092019260070803,529200,9453,5158,14611,0.01786281179138322,0.009746787603930461,0.02760959939531368,0.01901681829406275,0.058045972138643265
0,20260813,15.png,BOSR_FULL_B1,final,0.003177540539869836,24.979088998992246,0.9671840667724609,5.1168971830861265,,,,,,,0.0,,
0,20260813,17.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0002841662378467111,35.46427522425031,0.9686186909675598,2.230433216203967,529200,14136,54,14190,0.02671201814058957,0.00010204081632653062,0.0268140589569161,0.026150847032739816,0.0568096898496151
0,20260813,17.png,RGB_ADD_FULL_B0P1,post-clipping,0.0002589532407106495,35.86778649566165,0.9861809015274048,2.1483326732231878,529200,14136,54,14190,0.02671201814058957,0.00010204081632653062,0.0268140589569161,0.026150847032739816,0.0568096898496151
0,20260813,17.png,BOSR_FULL_B1,final,0.00026334539316192414,35.7947427457954,0.9770253896713257,2.2791657704619617,,,,,,,0.0,,
0,20260813,24.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00043269125737749645,33.638218797286356,0.9776815176010132,2.1354951536158646,529200,10648,2,10650,0.020120937263794405,3.7792894935752077e-06,0.020124716553287982,0.025194832269400752,0.054472263902425766
0,20260813,24.png,RGB_ADD_FULL_B0P1,post-clipping,0.0004152442193104594,33.816964047261614,0.9883689284324646,2.072255314143963,529200,10648,2,10650,0.020120937263794405,3.7792894935752077e-06,0.020124716553287982,0.025194832269400752,0.054472263902425766
0,20260813,24.png,BOSR_FULL_B1,final,0.000410254183603872,33.86946981495315,0.9809206128120422,2.057835688496514,,,,,,,0.0,,
0,20260813,26.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0009384122847337766,30.276063155161744,0.9613867402076721,2.7397658308922908,529200,47243,1,47244,0.08927248677248677,1.8896447467876038e-06,0.08927437641723356,0.011430125563910858,0.053467657417058945
0,20260813,26.png,RGB_ADD_FULL_B0P1,post-clipping,0.0009110472888403086,30.40459079943151,0.9825994968414307,2.674727117945345,529200,47243,1,47244,0.08927248677248677,1.8896447467876038e-06,0.08927437641723356,0.011430125563910858,0.053467657417058945
0,20260813,26.png,BOSR_FULL_B1,final,0.0009437518509123934,30.25142183611496,0.9736673831939697,2.815518385925602,,,,,,,0.0,,
0,20260813,30.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0019622722138024546,27.07240745808315,0.9695295691490173,4.376860629942527,529200,11528,752,12280,0.021783824640967498,0.001421012849584278,0.023204837490551775,0.024455879748297434,0.05591170862317085
0,20260813,30.png,RGB_ADD_FULL_B0P1,post-clipping,0.0019414432007614521,27.118753107356074,0.9827514290809631,4.308505503652846,529200,11528,752,12280,0.021783824640967498,0.001421012849584278,0.023204837490551775,0.024455879748297434,0.05591170862317085
0,20260813,30.png,BOSR_FULL_B1,final,0.0018923179307939774,27.230058954238284,0.9762606024742126,4.306188895957079,,,,,,,0.0,,
0,20260813,38.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0001263894675993954,38.982891155635045,0.9795171618461609,1.2072297509706096,529200,10028,4,10032,0.01894935752078609,7.558578987150415e-06,0.018956916099773242,0.02775652492821906,0.05700410529971123
0,20260813,38.png,RGB_ADD_FULL_B0P1,post-clipping,0.0001078942781745284,39.67001586115221,0.9907788634300232,1.1409733370876696,529200,10028,4,10032,0.01894935752078609,7.558578987150415e-06,0.018956916099773242,0.02775652492821906,0.05700410529971123
0,20260813,38.png,BOSR_FULL_B1,final,0.00011136963984362482,39.532331847943944,0.9834102392196655,1.151153007442173,,,,,,,0.0,,
0,20260813,40.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0001695734189817195,37.70642223389969,0.9781293869018555,1.3015874168487775,529200,27336,0,27336,0.05165532879818594,0.0,0.05165532879818594,0.012275251981855884,0.05443180724978447
0,20260813,40.png,RGB_ADD_FULL_B0P1,post-clipping,0.00015043263475011934,38.22657937983515,0.9903523921966553,1.2275934181599097,529200,27336,0,27336,0.05165532879818594,0.0,0.05165532879818594,0.012275251981855884,0.05443180724978447
0,20260813,40.png,BOSR_FULL_B1,final,0.0001562174908182185,38.06270342158015,0.9825512766838074,1.2585749156668815,,,,,,,0.0,,
0,20260813,47.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0011612025067530393,29.350920353034734,0.9649490714073181,3.7522037225472444,529200,20387,0,20387,0.03852418745275888,0.0,0.03852418745275888,0.018045256277530924,0.05620192363858223
0,20260813,47.png,RGB_ADD_FULL_B0P1,post-clipping,0.0011402871007186893,29.429857885233094,0.9808180928230286,3.6769164624663624,529200,20387,0,20387,0.03852418745275888,0.0,0.03852418745275888,0.018045256277530924,0.05620192363858223
0,20260813,47.png,BOSR_FULL_B1,final,0.001160115128971996,29.354989095694716,0.9745882749557495,3.7011755761943013,,,,,,,0.0,,
0,20260813,51.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0002352849938679907,36.28405770606158,0.9765875935554504,2.04673078873511,529200,13120,91,13211,0.024792139077853364,0.00017195767195767197,0.024964096749811034,0.022285488242132365,0.054838575422763824
0,20260813,51.png,RGB_ADD_FULL_B0P1,post-clipping,0.00021551524380515553,36.665220059379436,0.9903767704963684,1.9785480926328824,529200,13120,91,13211,0.024792139077853364,0.00017195767195767197,0.024964096749811034,0.022285488242132365,0.054838575422763824
0,20260813,51.png,BOSR_FULL_B1,final,0.0002430188542658949,36.14360030986085,0.9824218153953552,2.0702963814938196,,,,,,,0.0,,
0,20260813,60.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0006054229035190082,32.179411534425924,0.9761561751365662,2.1648710276320586,529200,12519,17,12536,0.023656462585034014,3.2123960695389265e-05,0.023688586545729404,0.021977337709265972,0.0557200126349926
0,20260813,60.png,RGB_ADD_FULL_B0P1,post-clipping,0.0005878104290691811,32.30762712841466,0.9893117547035217,2.1012489574812805,529200,12519,17,12536,0.023656462585034014,3.2123960695389265e-05,0.023688586545729404,0.021977337709265972,0.0557200126349926
0,20260813,60.png,BOSR_FULL_B1,final,0.0006003054013858833,32.216277489620836,0.9808196425437927,2.163664014661405,,,,,,,0.0,,
0,20260813,65.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0014758963425378338,28.309441434917527,0.8787451982498169,3.5509163092795486,529200,60638,57319,117957,0.11458427815570672,0.10831254724111868,0.2228968253968254,0.012275931130506283,0.05329658463597298
0,20260813,65.png,RGB_ADD_FULL_B0P1,post-clipping,0.001398797891648756,28.542450309567315,0.9722838997840881,3.404912025466312,529200,60638,57319,117957,0.11458427815570672,0.10831254724111868,0.2228968253968254,0.012275931130506283,0.05329658463597298
0,20260813,65.png,BOSR_FULL_B1,final,0.001358705270122988,28.66874740060033,0.968058705329895,3.305684044670527,,,,,,,0.0,,
0,20260813,66.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0016864399546782903,27.73029117158513,0.9623644351959229,4.434448873322834,529200,18500,5,18505,0.034958427815570674,9.44822373393802e-06,0.03496787603930461,0.018942990028349482,0.05762442573904991
0,20260813,66.png,RGB_ADD_FULL_B0P1,post-clipping,0.0016655221531964475,27.78449586360983,0.9776908159255981,4.361728276983017,529200,18500,5,18505,0.034958427815570674,9.44822373393802e-06,0.03496787603930461,0.018942990028349482,0.05762442573904991
0,20260813,66.png,BOSR_FULL_B1,final,0.001683347224901471,27.738262926367476,0.97159743309021,4.378681273588142,,,,,,,0.0,,
0,20260813,69.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00018791734238581806,37.26033138180939,0.9777976274490356,1.5242790225421539,529200,15924,36,15960,0.030090702947845806,6.802721088435374e-05,0.03015873015873016,0.018192229635509222,0.056720949709415436
0,20260813,69.png,RGB_ADD_FULL_B0P1,post-clipping,0.00016988995746504187,37.69832292387106,0.9911168813705444,1.4551032077444037,529200,15924,36,15960,0.030090702947845806,6.802721088435374e-05,0.03015873015873016,0.018192229635509222,0.056720949709415436
0,20260813,69.png,BOSR_FULL_B1,final,0.0001721755772094771,37.640284523910196,0.9835104942321777,1.455264627188826,,,,,,,0.0,,
0,20260813,78.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00209427878074558,26.78965507527868,0.9639415740966797,4.551947102032297,529200,17757,2006,19763,0.03355442176870748,0.0037906273620559334,0.03734504913076342,0.015640111447723645,0.05695902183651924
0,20260813,78.png,RGB_ADD_FULL_B0P1,post-clipping,0.0020736688593332646,26.832605941602267,0.9767410159111023,4.481477853765314,529200,17757,2006,19763,0.03355442176870748,0.0037906273620559334,0.03734504913076342,0.015640111447723645,0.05695902183651924
0,20260813,78.png,BOSR_FULL_B1,final,0.00200491455329613,26.979041316835715,0.9705391526222229,4.446905786635074,,,,,,,0.0,,
