luminance_tertile,metric,favorable_effect,ci95_low,ci95_high,favorable_images,n_images
low,mse,-0.07242495025238642,-0.7734761927848329,0.586402343443984,16,34
low,psnr_db,-0.021871254399606244,-0.057588870340915754,0.013011262244686034,16,34
low,ssim,-0.001208336914286871,-0.0015193164786872853,-0.0009836996887243904,0,34
low,delta_e00,-0.8390759266238028,-1.4953494693684861,-0.237508124347204,13,34
middle,mse,-0.14001632399211444,-0.508235461819356,0.2905375639930082,12,33
middle,psnr_db,0.0089553203811848,-0.01867127900236527,0.0394392440336249,13,33
middle,ssim,-0.0010687853350783941,-0.001192394546186079,-0.0009506825696339011,0,33
middle,delta_e00,-0.01983292657260401,-0.33817636584532934,0.33087269168882855,15,33
high,mse,-0.7757190184586003,-1.472763528207595,0.0731368379116587,14,33
high,psnr_db,-0.00372886761363855,-0.04911839451356333,0.043747324140163704,14,33
high,ssim,-0.0015146985198512223,-0.001606956410287816,-0.001416217106761339,0,33
high,delta_e00,-0.8971167317324626,-1.282593174065172,-0.47967120954957204,7,33
